ParticipantID,Group,Q3.1_pre,Q3.2_pre,Q3.3_pre,Q4.2_pre,Q4.3_pre,Q4.4_pre,Q4.5_pre,Q5.2_pre,Q5.3_pre,Q5.4_pre,Q2.1_condA,Q2.2_1_condA,Q2.3_condA,Q2.4_condA,Q3.2_condA,Q3.3_condA,Q3.4_condA,Q3.5_condA,Q3.6_condA,Q3.7_condA,Round_condA,Q2.1_condB,Q2.2_1_condB,Q2.3_condB,Q2.4_condB,Q3.2_condB,Q3.3_condB,Q3.4_condB,Q3.5_condB,Q3.6_condB,Q3.7_condB,Round_condB,Q2.1_condC,Q2.2_1_condC,Q2.3_condC,Q2.4_condC,Q3.2_condC,Q3.3_condC,Q3.4_condC,Q3.5_condC,Q3.6_condC,Q3.7_condC,Round_condC,Q4.3_1_post,Q4.4_1_post,Q4.5_1_post,Q4.6_post,Q4.7_post,Q4.8_post,Q4.9_post,Q5.1_post,Q5.2_post,Q5.3_post
36110,Group 5,Woman,26.0,Master's degree,6,6,5,6,5,4,5,Yes,9.0,To help the research,NA,5,5,6,6,6,6,Round2,Yes,9.0,For research purposes to help research on the pandemic,NA,6,6,6,6,6,6,Round3,Yes,9.0,To help research and a good cause,NA,6,5,5,5,5,6,Round1,7.0,7.0,7.0,Version 2,NA,It answered the most of my questions and was not confusing.,NA,"Yes, I would definitely be willing to",The research could help us learn more about the world around us and how our habits change over time,NA
18413,Group 2,Man,62.0,PhD,4,4,3,4,3,3,3,Yes,9.0,personal contact,NA,5,4,5,5,5,3,Round1,Yes,7.0,for research,NA,5,5,5,5,5,5,Round3,Yes,7.0,because I know the person that I donate the data to,NA,5,5,5,5,5,5,Round2,7.0,8.0,7.0,Version 1,more anonymous,NA,NA,"Yes, I would probably be willing to",as a researcher i like to contribute to research,NA
90593,Group 4,Woman,29.0,Master's degree,7,7,6,7,6,6,6,Yes,9.0,To help my friend,NA,4,4,4,4,4,4,Round2,Yes,9.0,Want to be helpfull,NA,4,4,6,4,4,4,Round1,Yes,9.0,Help the study.,NA,4,4,4,4,4,4,Round3,10.0,10.0,10.0,I don't know,NA,NA,NA,"Yes, I would probably be willing to",Help studies.,NA
15550,Group 2,Man,66.0,Master's degree,5,5,5,6,5,5,6,Yes,8.0,om deze studie te ondersteunen,NA,6,6,7,6,4,4,Round1,Yes,8.0,Om mee te werken aan het onderzoek,NA,6,6,4,4,4,4,Round3,Yes,8.0,om je te helpen bij het onderzoek,NA,5,6,6,4,4,4,Round2,8.0,8.0,6.0,Version 1,"het meest duidelijk en snel te overzien
",NA,NA,"Yes, I would probably be willing to","als ik daar anderen in hun onderzoek mee verder kan helpen ben ik daar eventueel wel toe bereid
",NA
39984,Group 4,Woman,25.0,Master's degree,7,5,5,6,5,5,4,Yes,7.0,To help with a science project,NA,4,4,3,4,4,4,Round2,Yes,7.0,Because I know it's for a science project. And I think science is important,NA,5,5,2,5,5,5,Round1,Yes,7.0,for a science project,NA,6,6,2,4,4,4,Round3,9.0,8.0,7.0,Version 1,"Because it's the most simple version. When there is too much info, i think: should i be worried about it?",NA,NA,"Yes, I would probably be willing to","If it is for sciene or it has a social importance (for example: data research about public health or local trafic) I don't think I have a problem with it. When it is for more commercial use, I would be more hesitated.",NA
65032,Group 2,Man,27.0,Bachelor's degree,6,6,6,7,6,6,4,Yes,7.0,helping other students / interesting topic,NA,7,7,7,6,6,6,Round1,Yes,7.0,I don't mind using my data for a study,NA,6,6,6,6,6,6,Round3,Yes,8.0,Helping other students,NA,6,6,6,6,6,6,Round2,8.0,8.0,7.0,Version 1,"simpler interface, makes it easier to feel confident. No twisted words, no tons of information to understand",NA,NA,"Yes, I would probably be willing to",Research studies are interesting and need data,NA
42739,Group 3,Man,33.0,Bachelor's degree,5,6,5,6,3,5,4,Yes,7.0,I trust its safe,NA,6,6,6,6,6,6,Round3,Yes,5.0,Only did it for the survey,NA,3,4,5,5,6,6,Round1,Yes,5.0,For the research.,NA,5,5,5,5,5,5,Round2,7.0,7.0,7.0,Version 3,NA,NA,done it before,"Yes, I would probably be willing to",depend on the research,NA
34376,Group 4,Man,37.0,Master's degree,6,5,5,6,5,5,6,Yes,6.0,"Asked by one of the studyorganizers
",NA,4,4,6,4,4,4,Round2,Yes,7.0,I was asked and would like to support the project,NA,4,6,6,6,4,6,Round1,Yes,6.0,Asked by study organizer,NA,4,6,6,4,6,6,Round3,5.0,6.0,7.0,Version 3,NA,NA,More written information on how the data is made anonymous,"Yes, I would probably be willing to",If the research seems important I would donate if i feel secure that the data i handled safely and is anonymized.,NA
12622,Group 2,Woman,50.0,Bachelor's degree,6,6,6,5,6,6,5,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Round1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96200,Group 6,Woman,32.0,Bachelor's degree,6,6,4,6,5,5,5,Yes,9.0,Done it before,NA,5,5,6,5,6,6,Round3,Yes,8.0,I found no reason not to.,NA,6,6,6,6,6,6,Round2,Yes,8.0,Research is important.,NA,5,5,5,5,5,4,Round1,5.0,6.0,7.0,Version 3,NA,NA,More info,"Yes, I would probably be willing to",I believe in research.,NA
