ParticipantID,Q2.1_condB,Q2.2_1_condB,Q2.3_condB,Q2.4_condB,Q3.2_condB,Q3.3_condB,Q3.4_condB,Q3.5_condB,Q3.6_condB,Q3.7_condB,Round_condB,Group
39984,Yes,7.0,Because I know it's for a science project. And I think science is important,NA,5,5,2,5,5,5,Round1,Group 4
90593,Yes,9.0,Want to be helpfull,NA,4,4,6,4,4,4,Round1,Group 4
34376,Yes,7.0,I was asked and would like to support the project,NA,4,6,6,6,4,6,Round1,Group 4
14609,Yes,9.0,To contribute to research.,NA,4,4,4,6,6,6,Round1,Group 3
18257,Yes,8.0,Because the study required it,NA,6,5,5,6,5,6,Round1,Group 4
67484,Yes,8.0,I am interested in data donation too! ;-),NA,NA,NA,NA,NA,NA,NA,Round1,Group 3
39050,Yes,9.0,Because I wanted to.,NA,5,4,4,5,4,4,Round1,Group 4
42739,Yes,5.0,Only did it for the survey,NA,3,4,5,5,6,6,Round1,Group 3
59485,Yes,8.0,The same as last time. It was clear that I was only giving that small table of data and not ALL my location data. I felt like that part of the data would not infiltrate my privacy.,NA,6,7,6,4,5,5,Round2,Group 6
61014,Yes,9.0,Because i want to,NA,5,5,5,5,5,5,Round2,Group 6
96200,Yes,8.0,I found no reason not to.,NA,6,6,6,6,6,6,Round2,Group 6
96216,Yes,4.0,help the research,NA,4,4,4,4,4,4,Round2,Group 1
22581,Yes,8.0,To help with the research,NA,6,6,6,6,6,6,Round2,Group 6
29957,Yes,4.0,"I already did the first round, so why not now",NA,5,5,5,5,5,5,Round2,Group 6
36110,Yes,9.0,For research purposes to help research on the pandemic,NA,6,6,6,6,6,6,Round3,Group 5
65032,Yes,7.0,I don't mind using my data for a study,NA,6,6,6,6,6,6,Round3,Group 2
18413,Yes,7.0,for research,NA,5,5,5,5,5,5,Round3,Group 2
15550,Yes,8.0,Om mee te werken aan het onderzoek,NA,6,6,4,4,4,4,Round3,Group 2
11942,Yes,9.0,Science!,NA,7,7,7,7,7,7,Round3,Group 5
30524,Yes,8.0,i guess i have no choice,NA,7,7,7,7,7,7,Round3,Group 2
12430,Yes,7.0,As I trust this data will not be used for other intentions outside of research,NA,6,6,6,6,6,6,Round3,Group 5
96722,Yes,9.0,I've done it before.,NA,6,6,6,6,6,6,Round3,Group 5
