ParticipantID,Q2.1_condB,Q2.2_1_condB,Q2.3_condB,Q2.4_condB,Q3.2_condB,Q3.3_condB,Q3.4_condB,Q3.5_condB,Q3.6_condB,Q3.7_condB,Round_condB,Group,Q2.1_condA,Q2.2_1_condA,Q2.3_condA,Q2.4_condA,Q3.2_condA,Q3.3_condA,Q3.4_condA,Q3.5_condA,Q3.6_condA,Q3.7_condA,Round_condA,Q2.1_condC,Q2.2_1_condC,Q2.3_condC,Q2.4_condC,Q3.2_condC,Q3.3_condC,Q3.4_condC,Q3.5_condC,Q3.6_condC,Q3.7_condC,Round_condC
39984,Yes,7.0,Because I know it's for a science project. And I think science is important,NA,5,5,2,5,5,5,Round1,Group 4,Yes,7.0,To help with a science project,NA,4,4,3,4,4,4,Round2,Yes,7.0,for a science project,NA,6,6,2,4,4,4,Round3
90593,Yes,9.0,Want to be helpfull,NA,4,4,6,4,4,4,Round1,Group 4,Yes,9.0,To help my friend,NA,4,4,4,4,4,4,Round2,Yes,9.0,Help the study.,NA,4,4,4,4,4,4,Round3
34376,Yes,7.0,I was asked and would like to support the project,NA,4,6,6,6,4,6,Round1,Group 4,Yes,6.0,"Asked by one of the studyorganizers
",NA,4,4,6,4,4,4,Round2,Yes,6.0,Asked by study organizer,NA,4,6,6,4,6,6,Round3
14609,Yes,9.0,To contribute to research.,NA,4,4,4,6,6,6,Round1,Group 3,Yes,7.0,"Contribute to research
",NA,6,6,6,6,6,6,Round3,Yes,8.0,Contribute to research.,NA,6,6,6,6,6,6,Round2
18257,Yes,8.0,Because the study required it,NA,6,5,5,6,5,6,Round1,Group 4,Yes,8.0,Because the survey required me to,NA,6,6,7,6,6,6,Round2,Yes,8.0,For the purpose of the study,NA,6,6,6,6,6,6,Round3
67484,Yes,8.0,I am interested in data donation too! ;-),NA,NA,NA,NA,NA,NA,NA,Round1,Group 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39050,Yes,9.0,Because I wanted to.,NA,5,4,4,5,4,4,Round1,Group 4,Yes,9.0,Because why not,NA,6,6,6,5,4,4,Round2,Yes,9.0,Because I wanted to consent data.,NA,5,6,4,4,5,5,Round3
42739,Yes,5.0,Only did it for the survey,NA,3,4,5,5,6,6,Round1,Group 3,Yes,7.0,I trust its safe,NA,6,6,6,6,6,6,Round3,Yes,5.0,For the research.,NA,5,5,5,5,5,5,Round2
59485,Yes,8.0,The same as last time. It was clear that I was only giving that small table of data and not ALL my location data. I felt like that part of the data would not infiltrate my privacy.,NA,6,7,6,4,5,5,Round2,Group 6,Yes,8.0,"Same reasons as before. It's not a lot of data and I already have it in the zip file now, so that makes it easier.
",NA,7,7,7,5,6,6,Round3,Yes,8.0,"At first I was skeptical. I did not know what was in the file to be honest, and felt like I was giving away all my location data of the past X years. But then a small clear table was shown with the data that was needed (and thus handed in), which made it pretty clear they weren't 'ripping me off' of all my data. So in the end, I was pretty willing to consent. And I trust the fact that not all data was send to the research, just that small part they needed.",NA,5,7,7,6,5,4,Round1
61014,Yes,9.0,Because i want to,NA,5,5,5,5,5,5,Round2,Group 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,9.0,Because it is important,NA,4,4,6,4,4,5,Round1
96200,Yes,8.0,I found no reason not to.,NA,6,6,6,6,6,6,Round2,Group 6,Yes,9.0,Done it before,NA,5,5,6,5,6,6,Round3,Yes,8.0,Research is important.,NA,5,5,5,5,5,4,Round1
96216,Yes,4.0,help the research,NA,4,4,4,4,4,4,Round2,Group 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,5.0,support the research,NA,4,4,4,4,4,4,Round3
22581,Yes,8.0,To help with the research,NA,6,6,6,6,6,6,Round2,Group 6,Yes,9.0,To help with the research,NA,6,6,6,6,6,6,Round3,Yes,9.0,To help with the research,NA,6,6,7,6,6,6,Round1
29957,Yes,4.0,"I already did the first round, so why not now",NA,5,5,5,5,5,5,Round2,Group 6,Yes,6.0,"did is last 2 times, who not now",NA,5,5,5,5,5,5,Round3,Yes,5.0,"because apparently you need it for your thesis :P, and I looked at the data myself which was to be shared, and it's safe, not personal, just a few numbers",NA,5,5,5,5,5,5,Round1
